[CH3]C(=O)[NH][CH2][CH2][NH]C(=O)[CH3]  CC(=O)NCCNC(C)=O  ABAWEG01
[CH3]c1[cH]n2[CH]3[CH]([CH2]O[CH2]c4[cH][cH][cH][cH][cH]4)O[CH]([OH])[CH]3Oc2nc1=O  CC1=CN2C3C(COCc4ccccc4)OC(O)C3OC2=NC1=O  NANRIE
[OH][CH]([CH](O[CH]1[CH2][CH2][CH2]C(=O)[CH2][CH2]1)c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH][cH]1  OC(C(OC1CCCC(=O)CC1)c1ccccc1)c1ccccc1  NAWVOX
[OH]C(=O)c1[cH][cH][cH][cH]c1N(=O)=O  OC(=O)c1ccccc1N(=O)=O  NBZOAO04
[CH3]Oc1[cH][cH]c([CH]=N[CH2][CH2]N=[CH]c2[cH][cH]c(O[CH3])c(O[CH3])[cH]2)[cH]c1O[CH3]  COc1ccc(C=NCCN=Cc2ccc(OC)c(OC)c2)cc1OC  NEFNUI01
[CH2]1[CH]2[CH2][CH]3[CH2][CH]1[CH2]C([CH2]2)([CH2]3)C#Cc1c2[cH][cH][cH][cH]c2c(C#CC23[CH2][CH]4[CH2][CH]([CH2][CH]([CH2]4)[CH2]2)[CH2]3)c2[cH][cH][cH][cH]c12  C1C2CC3CC1CC(C2)(C3)C#Cc1c2ccccc2c(C#CC23CC4CC(CC(C4)C2)C3)c2ccccc12  NEKFAL
[CH3]c1c2[CH2]C3=C([CH2]C([CH3])([CH3])[CH2]C3=O)Oc2c([CH3])c2N3[CH2][CH2][CH2][CH]3Oc12  Cc1c2CC3=C(CC(C)(C)CC3=O)Oc2c(C)c2N3CCCC3Oc12  NEPVAG
[CH3][CH2]c1[cH][nH]c(c1[CH2][CH3])C(=O)C(=O)[OH]  CCC1=CNC(=C1CC)C(=O)C(O)=O  NESTIP
[CH3]OC(=O)[CH2][CH]([CH3])C1([CH3])[CH2][CH2]c2c([cH][cH]c3[cH][cH][cH][cH]c23)C1=O  COC(=O)CC(C)C1(C)CCc2c(ccc3ccccc23)C1=O  NEYQOY
[CH2]1[CH2]C2([CH2][CH2]2)[CH]=[CH]1  C1CC2(CC2)C=C1  NICRIA
[CH3]N([CH3])c1[cH][cH]c([CH]=[CH]C(=O)c2[cH][cH][cH]c([cH]2)N(=O)=O)[cH][cH]1  CN(C)c1ccc(C=CC(=O)c2cccc(c2)N(=O)=O)cc1  NIFDOW
[CH3]C([CH3])([CH3])c1[cH]c([CH2]N2[CH2][CH2]N([CH2][CH2]2)[CH2]c2[cH]c([cH]c(c2[OH])C([CH3])([CH3])[CH3])C([CH3])([CH3])[CH3])c([OH])c([cH]1)C([CH3])([CH3])[CH3]  CC(C)(C)c1cc(CN2CCN(CC2)Cc2cc(cc(c2O)C(C)(C)C)C(C)(C)C)c(O)c(c1)C(C)(C)C  NIRNOS
[NH2]C(=O)c1[cH][cH][cH]c([CH2]n2[cH][cH][cH]n2)[cH]1  NC(=O)c1cccc(CN2C=CC=N2)c1  NIWWIA
[CH3]c1nn([CH2]c2[cH][cH][cH]c([cH]2)C(=O)[NH2])c([cH]1)[CH3]  CC1=NN(Cc2cccc(c2)C(N)=O)C(=C1)C  NIWWOG
[CH3]c1[cH][cH]c([cH][cH]1)N=[CH]c1[cH][cH]c([cH][cH]1)N(=O)=O  Cc1ccc(cc1)N=Cc1ccc(cc1)N(=O)=O  NMBYAN01
[CH3][CH]([CH3])c1[cH][cH][cH]c([CH]([CH3])[CH3])c1N=[CH][CH]1[CH2][CH2][CH]2[CH2][CH2][CH2][CH2][CH]2N1[O]  CC(C)c1cccc(C(C)C)c1N=Cc1ccc2ccccc2n1[O]  NOHROS01
[CH3]C(=O)[NH]c1[cH][cH][cH]c([CH3])[cH]1  CC(=O)Nc1cccc(C)c1  NOJJIG
[CH3][CH2]OC(=O)C1([CH2]c2c(N3[CH2][CH2][CH2][CH2][CH]13)c1[cH][cH][cH][cH]c1oc2=O)C#N  CCOC(=O)C1(CC2=C(N3CCCCC13)c1ccccc1OC2=O)C#N  NOKHEB
[CH3][CH2]OC(=O)C1([CH3])C(=[CH][CH]([CH2]c2[cH][cH][cH][cH][cH]2)C1([CH3])[OH])[CH3]  CCOC(=O)C1(C)C(=CC(Cc2ccccc2)C1(C)O)C  NONBUO
[CH3][CH]1[CH2]C(=O)O[CH]([CH3])[CH]([OH])[CH]=[CH]C(=O)O[CH]([CH3])[CH]([OH])[CH]=[CH]C(=O)O1  CC1CC(=O)OC(C)C(O)C=CC(=O)OC(C)C(O)C=CC(=O)O1  NOQTES01
N#Cc1[cH][cH]c([cH][cH]1)[CH]=N[CH2][CH2]N=[CH]c1[cH][cH]c([cH][cH]1)C#N  N#Cc1ccc(cc1)C=NCCN=Cc1ccc(cc1)C#N  NOQYEY
[CH3][CH2]Oc1[cH][cH][cH]c([CH]=N[CH2][CH2][CH2][CH2]N=[CH]c2[cH][cH][cH]c(O[CH2][CH3])c2[OH])c1[OH]  CCOc1cccc(C=NCCCCN=Cc2cccc(OCC)c2O)c1O  NORCON
[CH3]Oc1[cH][cH]c([cH][cH]1)C1=N[CH2][CH2][NH]1  COc1ccc(cc1)C1=NCCN1  NORHEI
[OH][CH2][CH2][OH]  OCCO  NOZKES02
O=C1N([CH2][CH2]c2[cH][cH][cH][cH]n2)C(=O)c2[cH][cH][cH][cH]c12  O=C1N(CCc2ccccn2)C(=O)c2ccccc12  NUNBUU
[NH2][NH]C(=O)C(=O)[NH][OH]  NNC(=O)C(=O)NO  NUPTIC
O=C1[CH2][CH]2[CH2][CH2][CH2][CH]([CH2]2)O1  O=C1CC2CCCC(C2)O1  NUQPIZ
[NH2][NH]C(=O)c1[cH][cH]c([NH2])[cH][cH]1  NNC(=O)c1ccc(N)cc1  NUVXIM01
[CH2](n1[cH]nnn1)c1[cH][cH]c([cH][cH]1)c1[cH][cH]c([CH2]n2[cH]nnn2)[cH][cH]1  C(N1C=NN=N1)c1ccc(cc1)c1ccc(CN2C=NN=N2)cc1  OBAREQ
[CH]#CN(c1[cH][cH][cH][cH][cH]1)c1[cH][cH]c([cH][cH]1)N(C#[CH])c1[cH][cH][cH][cH][cH]1  C#CN(c1ccccc1)c1ccc(cc1)N(C#C)c1ccccc1  OBUBUK
[CH2]1[CH2][CH]2[CH2][CH]1C1=C2c2[cH][cH][cH][cH]c2C2=C([CH]3[CH2][CH2][CH]2[CH2]3)c2[cH][cH][cH][cH]c12  C1CC2CC1C1=C2c2ccccc2C2=C(C3CCC2C3)c2ccccc12  OBUKAZ
[CH2]([CH2][CH2]Oc1[cH]c(nc([cH]1)c1[cH][cH][cH][cH]n1)c1[cH][cH][cH][cH]n1)[CH2]Oc1[cH]c(nc([cH]1)c1[cH][cH][cH][cH]n1)c1[cH][cH][cH][cH]n1  C(CCOc1cc(nc(c1)c1ccccn1)c1ccccn1)COc1cc(nc(c1)c1ccccn1)c1ccccn1  OCEJIR
O=N(=O)N1[CH2]N([CH2]N([CH2]N([CH2]1)N(=O)=O)N(=O)=O)N(=O)=O  O=N(=O)N1CN(CN(CN(C1)N(=O)=O)N(=O)=O)N(=O)=O  OCHTET13
O=C1O[CH2][CH]2[CH2]C12C#N  O=C1OCC2CC12C#N  OCIQOH
[CH3][CH2][CH2][CH2][CH2][CH2][CH2][CH3]  CCCCCCCC  OCTANE01
o1c([cH]nc1c1[cH][cH][cH][cH][cH]1)[CH]=[CH]c1[cH]nc(o1)c1[cH][cH][cH][cH][cH]1  O1C(=CN=C1c1ccccc1)C=CC1=CN=C(O1)c1ccccc1  OCURUB
O=C1C(=c2c3[cH][cH][cH][cH]c3c3[cH][cH][cH][cH]c3c2=C1c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH][cH]1  O=C1C(=C2c3ccccc3c3ccccc3C2=C1c1ccccc1)c1ccccc1  ODEJOX
[CH3][NH]C(=O)[CH]([CH3])N([CH3])C(=O)[CH3]  CNC(=O)C(C)N(C)C(C)=O  ODETOH
[CH3][CH2]OC(=O)C(=O)O[CH2][CH3]  CCOC(=O)C(=O)OCC  ODEVUQ
[CH3][CH]([CH3])OC(=O)C(=O)O[CH]([CH3])[CH3]  CC(C)OC(=O)C(=O)OC(C)C  ODEXEC01
[CH3][CH2][CH2][CH2]OC(=O)C(=O)O[CH2][CH2][CH2][CH3]  CCCCOC(=O)C(=O)OCCCC  ODEXOM01
[CH3][CH2]OC(=O)C(=O)O[CH3]  CCOC(=O)C(=O)OC  ODEZEE01
[CH3]C(=O)N(C(=O)[NH]c1[cH][cH]c([CH3])[cH][cH]1)c1[cH][cH]c([CH3])[cH][cH]1  CC(=O)N(C(=O)Nc1ccc(C)cc1)c1ccc(C)cc1  OFELIV
[CH2]1[CH2]N=C([NH]1)c1[cH][cH]c([cH][cH]1)C1=N[CH2][CH2][NH]1  C1CN=C(N1)c1ccc(cc1)C1=NCCN1  OGEQIB
[OH][CH2]C1([OH])O[CH2][CH]([OH])[CH]([OH])[CH]1[OH]  OCC1(O)OCC(O)C(O)C1O  OGETAW
[CH3]O[CH]1O[CH2][CH]([OH])[CH]([OH])[CH]1[OH]  COC1OCC(O)C(O)C1O  OGETEA
[CH3][CH]1[CH2][CH2]C2([CH3])[CH]([CH2][CH2][CH]=C2[CH3])C1([CH3])[CH2][CH]=O  CC1CCC2(C)C(CCC=C2C)C1(C)CC=O  OHIPUR
O=c1n2c3[cH][cH][cH][cH]c3nc2c2[cH][cH]c3c(=O)n4c5[cH][cH][cH][cH]c5nc4c4[cH][cH]c1c2c34  O=C1N2c3ccccc3N=C2c2ccc3C(=O)N4c5ccccc5N=C4c4ccc1c2c34  OHIXUY
[CH3][CH]1[CH]2[CH2][CH2]C([CH3])(O2)[CH]2[CH2]C([CH3])([CH3])[CH](C#N)[CH]2C1=O  CC1C2CCC(C)(O2)C2CC(C)(C)C(C#N)C2C1=O  OHOWOX
O=N(=O)c1[cH][cH]c2[NH]C34[CH2][CH2][CH2][CH2]C3([NH]c3[cH][cH]c([cH]c3O4)N(=O)=O)Oc2[cH]1  O=N(=O)c1ccc2NC34CCCCC3(Nc3ccc(cc3O4)N(=O)=O)Oc2c1  OHUJOQ
[CH2]1[CH2][CH]2[CH2][CH2][CH]1[CH]1C2=C2[CH]3[CH2][CH2][CH]([CH2][CH2]3)C2=C1c1[cH][cH][cH][cH][cH]1  C1CC2CCC1C1C2=C2C3CCC(CC3)C2=C1c1ccccc1  OHUYIZ
O=C(O[CH2][CH2][CH]=[CH][CH2][CH2]OC(=O)c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH][cH]1  O=C(OCCC=CCCOC(=O)c1ccccc1)c1ccccc1  OJEPUO
[CH3][CH]([OH])[CH]1[CH2]N([CH3])C(=O)[CH]1[NH]C(=O)OC([CH3])([CH3])[CH3]  CC(O)C1CN(C)C(=O)C1NC(=O)OC(C)(C)C  OKEDOY
[CH3]Oc1[cH][cH]c([CH]=N[OH])c([CH3])c1[CH3]  COc1ccc(C=NO)c(C)c1C  OKUHAD
[CH3][CH]1[CH](O[CH2]c2[cH]n([CH2][CH2][CH2]C(=O)N1[CH3])nn2)c1[cH][cH][cH][cH][cH]1  CC1C(OCC2=CN(CCCC(=O)N1C)N=N2)c1ccccc1  OLATUR01
[CH3][CH]1[CH](O[CH2]c2[cH]n([CH2]c3[cH][cH][cH]c([cH]3)C(=O)N1[CH3])nn2)c1[cH][cH][cH][cH][cH]1  CC1C(OCC2=CN(Cc3cccc(c3)C(=O)N1C)N=N2)c1ccccc1  OLAVAZ
O=C1[CH2][CH2]c2[cH][cH][cH][cH]c2C21[CH2][CH]2c1[cH][cH]c2[cH][cH][cH][cH]c2[cH]1  O=C1CCc2ccccc2C21CC2c1ccc2ccccc2c1  OLAVUS
O=N(=O)c1[cH][cH]c([NH]N=C2[CH]3[CH2][CH]([CH]=[CH]3)[CH]3[CH2][CH2][CH2][CH]23)c([cH]1)N(=O)=O  O=N(=O)c1ccc(NN=C2C3CC(C=C3)C3CCCC23)c(c1)N(=O)=O  OLAWAZ
[CH3]c1[cH]c([CH3])c2oc3c([cH]c([CH3])c4oc5c([CH3])[cH]c([CH3])[cH]c5c34)c2[cH]1  Cc1cc(C)c2Oc3c(cc(C)c4Oc5c(C)cc(C)cc5c34)c2c1  OLOXUJ
[CH3]c1[cH][cH]c2[nH]c3c([CH2][CH2]C(=[CH]c4[cH][cH][cH]o4)C3=O)c2[cH]1  Cc1ccc2NC3=C(CCC(=CC4=CC=CO4)C3=O)c2c1  OMABAG
[CH3]OC(=O)C(=[CH2])[CH]1[CH2]O[CH](OO1)c1[cH][cH]c([cH][cH]1)C#N  COC(=O)C(=C)C1COC(OO1)c1ccc(cc1)C#N  OMEHIY
O=N(=O)c1[cH]onc1c1[cH][cH][cH][cH][cH]1  O=N(=O)C1=CON=C1c1ccccc1  OMEJOG
[CH3]C1([CH3])C2=[CH][CH2][CH]3[CH2][CH2][CH2]C(=O)C3([CH]=O)[CH]2[CH2][CH2]C21O[CH2][CH2]O2  CC1(C)C2=CCC3CCCC(=O)C3(C=O)C2CCC21OCCO2  OMEQON
[CH2]1[CH2][CH2]C(=[CH][CH2]1)C1(C#Cc2[cH][cH][cH][cH][cH]2)[CH]2[CH2][CH]=[CH][CH]12  C1CCC(=CC1)C1(C#Cc2ccccc2)C2CC=CC12  ONEMOK
[CH3]N([CH3])C(=NN=C(N([CH3])[CH3])N([CH3])[CH3])N([CH3])[CH3]  CN(C)C(=NN=C(N(C)C)N(C)C)N(C)C  ONUMAM
[CH3]N1[CH2][CH2]N([CH3])C1=NN=C1N([CH3])[CH2][CH2]N1[CH3]  CN1CCN(C)C1=NN=C1N(C)CCN1C  ONUMEQ
O=C1[CH2][CH2]C21[CH]=[CH][CH]1[CH2]O[CH]2O1  O=C1CCC21C=CC1COC2O1  OPIKUU
[CH3]Oc1c(c([OH])c(c([OH])c1N(=O)=O)N(=O)=O)N(=O)=O  COc1c(c(O)c(c(O)c1N(=O)=O)N(=O)=O)N(=O)=O  ORAVUZ
[CH3][CH2]OC(=O)C(=[CH]c1[cH][cH][cH][cH][cH]1)n1[cH]nc2c1c(=O)n([CH3])c(=O)n2[CH3]  CCOC(=O)C(=Cc1ccccc1)N1C=NC2=C1C(=O)N(C)C(=O)N2C  OWAHAW
[CH3][CH2]OC(=O)[CH]1[CH2]N([CH2]c2[cH][cH][cH][cH][cH]2)C(=O)[CH]1[OH]  CCOC(=O)C1CN(Cc2ccccc2)C(=O)C1O  OXESEQ
[CH3]OC(=O)C1(N([CH2][CH]([CH2][CH]=[CH2])C1([CH3])[OH])[CH]=O)C(=O)O[CH3]  COC(=O)C1(N(CC(CC=C)C1(C)O)C=O)C(=O)OC  OXODIP
[CH2]1[CH]([CH]=[CH]c2[cH][cH][cH][cH][cH]2)C1(c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH][cH]1  C1C(C=Cc2ccccc2)C1(c1ccccc1)c1ccccc1  OYEHAC
[CH3]C([CH3])([OH])[CH2]n1c2[cH]nc3[cH][cH][cH][cH]c3c2nc1c1[cH][cH][cH][cH][cH]1  CC(C)(O)CN1c2cnc3ccccc3c2N=C1c1ccccc1  OYEXIA
[CH3]C1=[CH][CH]([CH]=[CH][CH]1C(=O)[OH])C([OH])(c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH][cH]1  CC1=CC(C=CC1C(O)=O)C(O)(c1ccccc1)c1ccccc1  OZEBEB
[OH][CH](c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH]c1c1[cH][cH][cH][cH]c1[CH]([OH])c1[cH][cH][cH][cH][cH]1  OC(c1ccccc1)c1ccccc1c1ccccc1C(O)c1ccccc1  OZIVOJ
[CH3][CH]([CH3])[CH]1[NH]C(=O)N([CH2][CH]2[CH2][CH2][CH2][CH2][CH2]2)C1=O  CC(C)C1NC(=O)N(CC2CCCCC2)C1=O  PAXTOY
[OH]C(=O)C(=[CH]c1[cH][cH]c([cH][cH]1)N(=O)=O)[OH]  OC(=O)C(O)=Cc1ccc(cc1)N(=O)=O  PENPUU
[CH3]c1[cH][cH]c([cH][cH]1)[CH]=C([OH])C(=O)[OH]  Cc1ccc(cc1)C=C(O)C(O)=O  PENQAB
[CH3]Oc1[cH][cH]c([cH][cH]1)[CH]=C([OH])C(=O)[OH]  COc1ccc(cc1)C=C(O)C(O)=O  PENQEF
[CH3][CH2][CH2][CH2][CH3]  CCCCC  PENTAN01
[CH3]OC(=O)[CH](N1[CH]([CH]([NH2])C1=O)c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH][cH]1  COC(=O)C(N1C(C(N)C1=O)c1ccccc1)c1ccccc1  PENXEL
O=N(=O)O[CH2]C([CH2]ON(=O)=O)([CH2]ON(=O)=O)[CH2]ON(=O)=O  O=N(=O)OCC(CON(=O)=O)(CON(=O)=O)CON(=O)=O  PERYTN12
[OH][CH2]C([CH2][OH])([CH2][OH])[CH2][OH]  OCC(CO)(CO)CO  PERYTO12
[CH3][CH]1N=C([NH2])O[CH]1c1[cH][cH][cH][cH][cH]1  CC1N=C(N)OC1c1ccccc1  PEVHEE
[CH3]C1([CH3])[CH2]OC(=N1)C1([CH2][CH2][CH2]c2[cH][cH][cH][cH]c12)c1[cH][cH][cH][cH][cH]1  CC1(C)COC(=N1)C1(CCCc2ccccc12)c1ccccc1  PEXKOT
[CH3]OC(=O)O[CH]1[CH]2[CH2]C3([CH]([CH]=C2c2[cH][cH][cH][cH][cH]2)[CH]13)c1[cH][cH][cH][cH][cH]1  COC(=O)OC1C2CC3(C(C=C2c2ccccc2)C13)c1ccccc1  PEZVIA
O=C1N(c2[cH][cH][cH][cH][cH]2)C(=O)N1c1[cH][cH][cH][cH][cH]1  O=C1N(c2ccccc2)C(=O)N1c1ccccc1  PHCYND03
[OH]C(=O)c1[cH][cH][cH][cH]c1C(=O)[OH]  OC(=O)c1ccccc1C(O)=O  PHTHAC04
[NH2]c1nc([NH][CH]2[CH2][CH2]2)c2n[cH]n([CH]3[CH2][CH]([OH])[CH]=[CH]3)c2n1  Nc1nc(NC2CC2)c2N=CN(C3CC(O)C=C3)c2n1  PIDBUA
[OH]C(=O)[CH2][CH]1[CH2][CH2][CH]2[CH2]C(=O)[CH2][CH2][CH]2[CH2]1  OC(=O)CC1CCC2CC(=O)CCC2C1  PIDGIT
[CH3]C(=O)[CH2][CH2]C1=C2[NH]C(=O)[CH2][CH2][CH]2[CH2][CH2][CH2]1  CC(=O)CCC1=C2NC(=O)CCC2CCC1  PILHAU
[OH]C(=O)c1[cH][cH][cH][nH]c1=O  OC(=O)C1=CC=CNC1=O  PIMBAP04
[OH]C(=O)[CH2][CH2][CH2][CH2][CH2]C(=O)[OH]  OC(=O)CCCCCC(O)=O  PIMELA07
[OH][CH]1[CH2]O[CH]2[CH]([CH2]O[CH]12)ON(=O)=O  OC1COC2C(COC12)ON(=O)=O  PIMKOO
O=C1c2[cH][cH][cH]nc2c2n[cH][cH][cH]c12  O=C1c2cccnc2c2ncccc12  PINNOP02
O=C([NH]c1[cH][cH][cH]n[cH]1)c1[cH][cH]c([cH][cH]1)C(=O)[NH]c1[cH][cH][cH]n[cH]1  O=C(Nc1cccnc1)c1ccc(cc1)C(=O)Nc1cccnc1  PITFOO01
[OH][CH]([CH2]c1[cH][cH][cH][cH][cH]1)C(=O)[OH]  OC(Cc1ccccc1)C(O)=O  PLACTA01
[CH3][CH](N1[CH2][CH]([CH2]C1=O)[CH]([OH])[CH2][OH])c1[cH][cH][cH][cH][cH]1  CC(N1CC(CC1=O)C(O)CO)c1ccccc1  POFQEH
N#Cc1[cH][cH]c([cH][cH]1)[CH]=N[CH2][CH2][CH2][CH2]N=[CH]c1[cH][cH]c([cH][cH]1)C#N  N#Cc1ccc(cc1)C=NCCCCN=Cc1ccc(cc1)C#N  POFRAE
N#Cc1[cH][cH]c([cH][cH]1)[CH]=N[CH2][CH2][CH2][CH2]N=[CH]c1[cH][cH]c([cH][cH]1)C#N  N#Cc1ccc(cc1)C=NCCCCN=Cc1ccc(cc1)C#N  POFRAE01
[CH3]c1c(C(=O)[OH])c(=O)[nH]c2[cH][cH][cH][cH]c12  CC1=C(C(O)=O)C(=O)Nc2ccccc12  PONNAI
[CH3]n1c(=O)c2c([nH]nc2[OH])c2[cH][cH][cH][cH]c12  CN1C(=O)C2=C(NN=C2O)c2ccccc12  PONNIQ
[CH3]Oc1[cH][cH][cH][cH]c1[CH]=N[NH]c1[cH][cH]c([cH]c1N(=O)=O)N(=O)=O  COc1ccccc1C=NNc1ccc(cc1N(=O)=O)N(=O)=O  PONTIW
[CH3]Oc1[cH]c2[CH2]O[CH2]c3c4[CH2]O[CH2]c4[cH][cH]c3c2c(O[CH3])c1O[CH3]  COc1cc2COCc3c4COCc4ccc3c2c(OC)c1OC  POPYID
[CH3][CH]([CH2]C#N)N([CH2]c1[cH][cH][cH][cH][cH]1)[CH2]c1[cH][cH][cH][cH][cH]1  CC(CC#N)N(Cc1ccccc1)Cc1ccccc1  PORVEY
[CH3]OC(=O)C1([CH2]C2=C([CH2]c3c(oc4[cH][cH][cH][cH]c34)[CH]=C([CH3])[CH2]2)[CH2]1)C(=O)O[CH3]  COC(=O)C1(CC2=C(CC3=C(Oc4ccccc34)C=C(C)C2)C1)C(=O)OC  POTPIY
O=C([NH]c1[cH][cH][cH][cH]c1c1[cH][cH][cH][cH]c1[NH]C(=O)c1[cH][cH][cH]o1)c1[cH][cH][cH]o1  O=C(Nc1ccccc1c1ccccc1NC(=O)C1=CC=CO1)C1=CC=CO1  POWLAP
[CH3]C1([CH3])[CH2]OC2([CH2][CH2]C3([CH2][CH2]2)O[CH2]C([CH3])([CH3])[CH2]O3)O[CH2]1  CC1(C)COC2(CCC3(CC2)OCC(C)(C)CO3)OC1  POWLIX
[CH3]c1[cH]c2oc3[cH][cH][cH][cH]c3c(=O)c2c([cH]1)c1[cH][cH][cH][cH][cH]1  Cc1cc2Oc3ccccc3C(=O)c2c(c1)c1ccccc1  POZHAO
[CH3]c1[cH][cH]c([cH][cH]1)C(=O)[OH]  Cc1ccc(cc1)C(O)=O  PTOLIC01
[CH3]O[CH2]Oc1[cH][cH][cH][cH]c1C(=[CH]c1[cH][cH][cH][cH][cH]1)C(=O)[OH]  COCOc1ccccc1C(=Cc1ccccc1)C(O)=O  PUBLOO
[NH2]c1nc(=O)n([cH][cH]1)[CH]1O[CH]([CH2][OH])[CH](O[CH]=[CH]C#N)[CH]1[OH]  NC1=NC(=O)N(C=C1)C1OC(CO)C(OC=CC#N)C1O  PUCPAF
[CH3][CH2]OC(=O)C1=NOC2([CH2]1)N([CH2]c1[cH][cH][cH][cH][cH]1)C(=O)C([CH3])([CH3])C2=O  CCOC(=O)C1=NOC2(C1)N(Cc1ccccc1)C(=O)C(C)(C)C2=O  PUGZOH
[CH3]c1[cH]c(nn2nnnc2[nH]1)[CH3]  CC1=CC(=NN2N=NN=C2N1)C  PUHHOQ
[NH2]c1nnnn1[NH][CH]=O  NC1=NN=NN1NC=O  PUHJIM
[CH3]c1[cH]c([CH3])c(c([CH3])[cH]1)C1([CH3])[CH2][CH]([CH2]1)C(=O)[CH2]Oc1[cH][cH][cH][cH][cH]1  Cc1cc(C)c(c(C)c1)C1(C)CC(C1)C(=O)COc1ccccc1  PUJCUT
[CH3]OC(=O)C1=C([CH3])[NH]C(=C([CH]1c1[cH][cH]c(O[CH3])[cH][cH]1)C(=O)O[CH3])[CH3]  COC(=O)C1=C(C)NC(=C(C1c1ccc(OC)cc1)C(=O)OC)C  PUJPUG
[CH3]C1([OH])[CH]=C([CH]([OH])c2[cH][cH]c([cH][cH]2)C#N)C(=O)C(=[CH]1)[CH]([OH])c1[cH][cH]c([cH][cH]1)C#N  CC1(O)C=C(C(O)c2ccc(cc2)C#N)C(=O)C(=C1)C(O)c1ccc(cc1)C#N  PUKZAX
[OH]C(=O)[CH]1[CH]([CH]([CH]1c1[cH][cH]n[cH][cH]1)C(=O)[OH])c1[cH][cH]n[cH][cH]1  OC(=O)C1C(C(C1c1ccncc1)C(O)=O)c1ccncc1  PULCAB
[NH2]c1[cH][cH]c([cH]c1N(=O)=O)C(=O)[OH]  Nc1ccc(cc1N(=O)=O)C(O)=O  PUQFUD
[OH]C(=O)c1[cH][cH]c([OH])c([cH]1)N(=O)=[O][O]=C([OH])c1[cH][cH]c([NH2])c(O[CH3])[cH]1  OC(=O)c1ccc(O)c(c1)N(=O)=OO=C(O)c1ccc(N)c(OC)c1  PUQGAK
O=C1[CH2][CH2][CH]2[CH2]C12N1[CH]([CH](OC1=O)c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH][cH]1  O=C1CCC2CC12N1C(C(OC1=O)c1ccccc1)c1ccccc1  PUTKAR
[OH][CH]1[CH](OC(=O)c2[cH][cH][cH][cH][cH]2)C(=O)OC1=O  OC1C(OC(=O)c2ccccc2)C(=O)OC1=O  QACXUP
[CH3][CH]1[CH2][CH2]c2[cH][cH]c(o2)c2c([OH])[cH]c([OH])[cH]c2[CH2]C(=O)O1  CC1CCC2=CC=C(O2)c2c(O)cc(O)cc2CC(=O)O1  QAGKOZ
[CH3]Oc1[cH][cH][cH][cH]c1[CH]1[CH]2C(=O)[CH2][CH2][CH2]C2([OH])OC2=C1C(=O)[CH2][CH2][CH2]2  COc1ccccc1C1C2C(=O)CCCC2(O)OC2=C1C(=O)CCC2  QAJNUM
[cH]1[cH][cH]c(n[cH]1)n1[cH]nnn1  c1ccc(nc1)N1C=NN=N1  QALQEA01
[CH3]C12[CH2][CH2][CH]([OH])C3([CH3])[CH]1[CH](OC2=O)[CH]=C1[CH2]OC(=O)[CH]=C31  CC12CCC(O)C3(C)C1C(OC2=O)C=C1COC(=O)C=C31  QALRAY
[CH3]C12[CH2][CH2][CH]([OH])C([CH3])(O[CH]1[CH2]OC(=O)O2)[CH]=[CH2]  CC12CCC(O)C(C)(OC1COC(=O)O2)C=C  QALTED
[CH3]C(=O)N1[CH2][CH2]O[CH2][CH2]O[CH2][CH2]O[CH2][CH2]N([CH2][CH2]O[CH2][CH2]O[CH2][CH2]O[CH2][CH2]1)C(=O)[CH3]  CC(=O)N1CCOCCOCCOCCN(CCOCCOCCOCC1)C(C)=O  QAMNIB
[CH3][CH]1[CH2][CH2][CH]2N1C(=O)C(=[CH]c1[cH][cH][cH][cH]c21)c1[cH][cH][cH][cH][cH]1  CC1CCC2N1C(=O)C(=Cc1ccccc21)c1ccccc1  QAQXAI
[CH3][CH]([CH3])C(=[CH]c1[cH][cH][cH][cH][cH]1)C(=O)[OH]  CC(C)C(=Cc1ccccc1)C(O)=O  QASTAG
[CH3][CH2]c1[cH][cH]c([OH])c([NH2])[cH]1  CCc1ccc(O)c(N)c1  QEPFUN
[NH2]c1[cH]c2[cH][cH][cH][cH]c2[cH]c1[OH]  Nc1cc2ccccc2cc1O  QEPGAU
[CH3]Oc1[cH]c2C(=O)N([CH3])C(=O)c2[cH]c1O[CH3]  COc1cc2C(=O)N(C)C(=O)c2cc1OC  QERVUF
[CH3]Oc1[cH][cH]c([NH2])c([cH]1)N(=O)=O  COc1ccc(N)c(c1)N(=O)=O  QEXNIR
[CH3][CH]([CH3])[CH]1[CH]2OC(=O)C(=C2[CH2]N1C(=O)OC([CH3])([CH3])[CH3])c1[cH][cH][cH][cH][cH]1  CC(C)C1C2OC(=O)C(=C2CN1C(=O)OC(C)(C)C)c1ccccc1  QEZYOK
[CH3]O[CH]1O[CH]([CH2][OH])[CH]([OH])[CH]1[OH]  COC1OC(CO)C(O)C1O  QIBTIE
[CH3]O[CH]1O[CH]([CH2][OH])[CH]([OH])[CH]1[OH]  COC1OC(CO)C(O)C1O  QIBTIE01
