[CH3]C(=O)[NH][CH2][CH2][NH]C(=O)[CH3]  CC(=O)NCCNC(C)=O  ABAWEG01
[CH3]c1[cH]n2[CH]3[CH]([CH2]O[CH2]c4[cH][cH][cH][cH][cH]4)O[CH]([OH])[CH]3Oc2nc1=O  CC1=CN2C3C(COCc4ccccc4)OC(O)C3OC2=NC1=O  NANRIE
[OH][CH]([CH](O[CH]1[CH2][CH2][CH2]C(=O)[CH2][CH2]1)c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH][cH]1  OC(C(OC1CCCC(=O)CC1)c1ccccc1)c1ccccc1  NAWVOX
[OH]C(=O)c1[cH][cH][cH][cH]c1N(=O)=O  OC(=O)c1ccccc1N(=O)=O  NBZOAO04
[CH3]Oc1[cH][cH]c([CH]=N[CH2][CH2]N=[CH]c2[cH][cH]c(O[CH3])c(O[CH3])[cH]2)[cH]c1O[CH3]  COc1ccc(C=NCCN=Cc2ccc(OC)c(OC)c2)cc1OC  NEFNUI01
[CH2]1[CH]2[CH2][CH]3[CH2][CH]1[CH2]C([CH2]2)([CH2]3)C#Cc1c2[cH][cH][cH][cH]c2c(C#CC23[CH2][CH]4[CH2][CH]([CH2][CH]([CH2]4)[CH2]2)[CH2]3)c2[cH][cH][cH][cH]c12  C1C2CC3CC1CC(C2)(C3)C#Cc1c2ccccc2c(C#CC23CC4CC(CC(C4)C2)C3)c2ccccc12  NEKFAL
[CH3]c1c2[CH2]C3=C([CH2]C([CH3])([CH3])[CH2]C3=O)Oc2c([CH3])c2N3[CH2][CH2][CH2][CH]3Oc12  Cc1c2CC3=C(CC(C)(C)CC3=O)Oc2c(C)c2N3CCCC3Oc12  NEPVAG
[CH3][CH2]c1[cH][nH]c(c1[CH2][CH3])C(=O)C(=O)[OH]  CCC1=CNC(=C1CC)C(=O)C(O)=O  NESTIP
[CH3]OC(=O)[CH2][CH]([CH3])C1([CH3])[CH2][CH2]c2c([cH][cH]c3[cH][cH][cH][cH]c23)C1=O  COC(=O)CC(C)C1(C)CCc2c(ccc3ccccc23)C1=O  NEYQOY
[CH2]1[CH2]C2([CH2][CH2]2)[CH]=[CH]1  C1CC2(CC2)C=C1  NICRIA
[CH3]N([CH3])c1[cH][c  CN(C)c1ccc(C=CC(=O)c2cccc(c2)N(=O)=O)cc1  NIFDOW
